Id,X,Y,Z,V1,V2,V3,R,G,B,Artist,Parents,Brothers
400,1.1593696792,-7.5381787538,-0.8788049052,2.3187393584,-15.0763575076,-1.7576098104,166,206,226,Blue Oyster Cult,264-265-266-267-268-269-270-271-272-273-274-275-276-277-278-279-280-281-282-283-284-285-286-287-288-289-290-291-292-293-294-295-296-297-298-299-300-301-302,10
401,-0.0063260719,-13.8304252597,-0.8687653367,-0.0126521438,-27.6608505194,-1.7375306734,31,120,180,Close Combat,192-193-194-195-196-197-198-199-200-201-202-203-204-205-206-207,11
402,6.1714806117,10.4272065573,1.4787081729,12.3429612234,20.8544131146,2.9574163458,178,223,138,Culture,70-71-72-73-74-75-76-77-78-79-80-81-82-83-84-85-86-87-88-89-90,12
403,1.4126018771,12.8823528372,-0.9166691256,2.8252037542,25.7647056744,-1.8333382512,51,160,40,DJ Yoda,165-166-167-168-169-170-171-172-173-174-175-176-177-178-179-180-181-182-183-184-185-186-187-188,13
404,3.4444223871,10.0065178275,-0.6609275223,6.8888447742,20.013035655,-1.3218550446,251,154,153,Donell Jones,91-92-93-94-95-96-97-98-99-100-101-102-103-104-105-106-107-108-109-110-111-112-113-114,14
405,-2.330361955,13.4343053078,1.4076361407,-4.66072391,26.8686106156,2.8152722814,227,26,28,Eight Frozen Modules,254-255-256-257-258-259-260-261-262-263,15
406,-1.6398352383,16.4539197046,-1.3029107762,-3.2796704766,32.9078394092,-2.6058215524,253,191,111,Funkstoerung,241-242-243-244-245-246-247-248-249-250-251,16
407,-1.1625026119,8.277278829,-0.7262894159,-2.3250052238,16.554557658,-1.4525788318,255,127,0,Joe McPhee,314-315-316-317-318,17
408,-2.9193347323,9.9195641616,-1.0359776696,-5.8386694646,19.8391283232,-2.0719553392,202,178,214,John Stevens,303-304-305-306-307-308-309-310-311-312-313,18
409,1.736876718,2.4914249585,2.2064554845,3.473753436,4.982849917,4.412910969,106,61,154,Ke$ha,67-68-69,19
410,0.231885466254956,-5.99547184487462,-0.907674017795963,0.4637709325,-11.9909436897,-1.8153480356,255,255,153,Know The Drill,236,20
411,-5.5614311645,19.1708613524,-0.049023243,-11.122862329,38.3417227048,-0.098046486,177,89,40,Layo & Bushwacka,252-253,21
412,-1.2408444097,-1.0875553455,-0.0561326541,-2.4816888194,-2.175110691,-0.1122653082,27,158,119,Luis Miguel,30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-62-63-64-65-66,22
413,-1.9417251536,-13.114863412,-0.176138101,-3.8834503072,-26.229726824,-0.352276202,217,95,2,MNEMIC,319-320-321-322-323-324-325-326-327-328-329-330-331-332-333-334-335-336-337-338-339-340-341-342-343-344-345-346-347-348-349-350-351-352-353-354-355-356-357-358-359-360-361-362-363-364-365-366-367,23
414,2.71310628023218,17.9907727037773,0.716103191774275,5.4262125605,35.9815454076,1.4322063835,117,112,179,Mr. Dibbs,189,24
415,3.0700862228,8.0916841737,2.5631603098,6.1401724456,16.1833683474,5.1263206196,231,141,138,Panjabi MC,190-191,25
416,-1.8670084398,-10.3814858418,0.7119688617,-3.7340168796,-20.7629716836,1.4239377234,102,166,30,Ratos de Porao,237-238-239-240,26
417,-1.2154838928,-12.0667209047,1.3522548252,-2.4309677856,-24.1334418094,2.7045096504,230,171,2,Regulations,208-209-210-211-212-213-214-215-216-217-218-219-220-221-222-223-224-225-226-227-228-229-230-231-232-233-234-235,27
418,-0.6477549871,5.2443657308,0.5495023093,-1.2955099742,10.4887314616,1.0990046186,166,118,29,Shawn Colvin,115-116-117-118-119-120-121-122-123-124-125-126-127-128-129-130-131-132-133-134-135-136-137-138-139-140-141-142-143-144-145-146-147-148-149-150-151-152-153-154-155-156-157-158-159-160-161-162-163,28
419,-0.892452447288564,12.4271682229437,1.88092486425011,-1.7849048946,24.8543364459,3.7618497285,102,102,102,The DEY,164,29
