Id,X,Y,Z,R,G,B,Artist,Parents
400,1.1593696792,-7.5381787538,-0.8788049052,228,26,28,Blue Oyster Cult,264-265-266-267-268-269-270-271-272-273-274-275-276-277-278-279-280-281-282-283-284-285-286-287-288-289-290-291-292-293-294-295-296-297-298-299-300-301-302
401,-0.0063260719,-13.8304252597,-0.8687653367,153,153,153,Close Combat,192-193-194-195-196-197-198-199-200-201-202-203-204-205-206-207
402,6.1714806117,10.4272065573,1.4787081729,255,255,51,Culture,70-71-72-73-74-75-76-77-78-79-80-81-82-83-84-85-86-87-88-89-90
403,1.4126018771,12.8823528372,-0.9166691256,152,78,163,DJ Yoda,165-166-167-168-169-170-171-172-173-174-175-176-177-178-179-180-181-182-183-184-185-186-187-188
404,3.4444223871,10.0065178275,-0.6609275223,255,255,51,Donell Jones,91-92-93-94-95-96-97-98-99-100-101-102-103-104-105-106-107-108-109-110-111-112-113-114
405,-2.330361955,13.4343053078,1.4076361407,55,126,184,Eight Frozen Modules,254-255-256-257-258-259-260-261-262-263
406,-1.6398352383,16.4539197046,-1.3029107762,55,126,184,Funkstoerung,241-242-243-244-245-246-247-248-249-250-251
407,-1.1625026119,8.277278829,-0.7262894159,255,127,0,Joe McPhee,314-315-316-317-318
408,-2.9193347323,9.9195641616,-1.0359776696,255,127,0,John Stevens,303-304-305-306-307-308-309-310-311-312-313
409,1.736876718,2.4914249585,2.2064554845,247,129,191,Ke$ha,67-68-69
410,0.231885466254956,-5.99547184487462,-0.907674017795963,153,153,153,Know The Drill,236
411,-5.5614311645,19.1708613524,-0.049023243,55,126,184,Layo & Bushwacka,252-253
412,-1.2408444097,-1.0875553455,-0.0561326541,247,129,191,Luis Miguel,30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-62-63-64-65-66
413,-1.9417251536,-13.114863412,-0.176138101,166,85,40,MNEMIC,319-320-321-322-323-324-325-326-327-328-329-330-331-332-333-334-335-336-337-338-339-340-341-342-343-344-345-346-347-348-349-350-351-352-353-354-355-356-357-358-359-360-361-362-363-364-365-366-367
414,2.71310628023218,17.9907727037773,0.716103191774275,152,78,163,Mr. Dibbs,189
415,3.0700862228,8.0916841737,2.5631603098,152,78,163,Panjabi MC,190-191
416,-1.8670084398,-10.3814858418,0.7119688617,153,153,153,Ratos de Porao,237-238-239-240
417,-1.2154838928,-12.0667209047,1.3522548252,153,153,153,Regulations,208-209-210-211-212-213-214-215-216-217-218-219-220-221-222-223-224-225-226-227-228-229-230-231-232-233-234-235
418,-0.6477549871,5.2443657308,0.5495023093,77,175,74,Shawn Colvin,115-116-117-118-119-120-121-122-123-124-125-126-127-128-129-130-131-132-133-134-135-136-137-138-139-140-141-142-143-144-145-146-147-148-149-150-151-152-153-154-155-156-157-158-159-160-161-162-163
419,-0.892452447288564,12.4271682229437,1.88092486425011,152,78,163,The DEY,164
