Id,X,Y,R,G,B,Parents
601,1970,3,215,48,39,314-315-316
602,1972,5,215,48,39,265-271-272-273-282
603,1973,1,215,48,39,279
604,1974,2,215,48,39,277-286
605,1975,5,244,109,67,288-298-299-300-302
606,1976,7,244,109,67,266-267-268-269-270-275-283
607,1977,4,244,109,67,274-278-280-289
608,1978,8,244,109,67,75-76-77-78-79-80-81-86
609,1979,5,244,109,67,284-294-295-296-297
610,1980,1,253,174,97,287
611,1981,4,253,174,97,281-291-292-293
612,1982,3,253,174,97,285-290-301
613,1984,1,253,174,97,236
614,1985,1,254,224,144,59
615,1986,1,254,224,144,74
616,1989,2,254,224,144,38-39
617,1990,4,224,243,248,30-83-84-85
618,1991,1,224,243,248,82
619,1992,11,224,243,248,35-90-138-139-140-141-142-143-144-145-146
620,1993,3,224,243,248,36-37-64
621,1994,14,224,243,248,41-44-46-60-129-130-131-132-133-134-135-136-137-276
622,1995,1,171,217,233,40
623,1996,21,171,217,233,50-51-52-53-70-72-73-115-116-117-118-119-120-121-122-123-124-125-126-161-162
624,1997,4,171,217,233,58-238-239-240
625,1998,15,171,217,233,57-127-148-149-150-151-152-153-154-155-156-157-158-159-241
626,1999,7,171,217,233,32-33-34-61-71-91-189
627,2000,4,116,173,209,62-63-65-66
628,2001,7,116,173,209,48-49-173-191-264-317-318
629,2002,9,116,173,209,43-108-109-110-111-112-113-114-252
630,2003,26,116,173,209,31-190-211-213-215-216-218-221-223-225-234-237-320-321-322-323-324-325-326-327-328-329-330-331-332-333
631,2004,17,116,173,209,45-254-255-257-258-259-357-358-359-360-361-362-363-364-365-366-367
632,2005,44,69,117,180,42-47-128-208-209-210-212-214-217-219-220-222-224-226-227-228-229-230-231-232-233-235-242-243-244-245-246-247-248-249-250-251-256-303-304-305-306-307-308-309-310-311-312-313
633,2006,61,69,117,180,54-55-56-93-94-95-96-97-98-99-100-101-102-103-104-105-106-107-147-160-165-166-167-168-169-170-171-172-174-175-176-177-178-179-180-181-182-183-184-185-186-187-188-192-193-194-195-196-197-198-199-200-201-202-203-204-205-206-207-339-343
634,2007,16,69,117,180,87-88-89-92-163-253-334-335-336-337-338-340-341-342-344-345
635,2008,5,69,117,180,164-260-261-262-263
636,2009,1,69,117,180,68
637,2010,14,69,117,180,67-69-319-346-347-348-349-350-351-352-353-354-355-356
